Total duration: 53.5767s
File: /opt/conda/lib/python3.8/site-packages/torch/autograd/__init__.py
File duration: 31.3149s (58.45%)
Line #|      Hits|         Time| Time per hit|      %|Source code
------+----------+-------------+-------------+-------+-----------
     1|         0|            0|            0|  0.00%|"""
     2|         0|            0|            0|  0.00%|``torch.autograd`` provides classes and functions implementing automatic
     3|         0|            0|            0|  0.00%|differentiation of arbitrary scalar valued functions. It requires minimal
     4|         0|            0|            0|  0.00%|changes to the existing code - you only need to declare :class:`Tensor` s
     5|         0|            0|            0|  0.00%|for which gradients should be computed with the ``requires_grad=True`` keyword.
     6|         0|            0|            0|  0.00%|As of now, we only support autograd for floating point :class:`Tensor` types (
     7|         0|            0|            0|  0.00%|half, float, double and bfloat16) and complex :class:`Tensor` types (cfloat, cdouble).
     8|         0|            0|            0|  0.00%|"""
     9|         0|            0|            0|  0.00%|import torch
    10|         0|            0|            0|  0.00%|import warnings
    11|         0|            0|            0|  0.00%|
    12|         0|            0|            0|  0.00%|from torch.types import _TensorOrTensors
    13|         0|            0|            0|  0.00%|from typing import Any, Callable, List, Optional, Sequence, Tuple, Union
    14|         0|            0|            0|  0.00%|
    15|         0|            0|            0|  0.00%|from .variable import Variable
    16|         0|            0|            0|  0.00%|from .function import Function, NestedIOFunction
    17|         0|            0|            0|  0.00%|from .gradcheck import gradcheck, gradgradcheck
    18|         0|            0|            0|  0.00%|from .grad_mode import no_grad, enable_grad, set_grad_enabled, inference_mode
    19|         0|            0|            0|  0.00%|from .anomaly_mode import detect_anomaly, set_detect_anomaly
    20|         0|            0|            0|  0.00%|from ..overrides import has_torch_function, handle_torch_function
    21|         0|            0|            0|  0.00%|from . import functional
    22|         0|            0|            0|  0.00%|from . import forward_ad
    23|         0|            0|            0|  0.00%|
    24|         0|            0|            0|  0.00%|__all__ = ['Variable', 'Function', 'backward', 'grad_mode']
    25|         0|            0|            0|  0.00%|
    26|         0|            0|            0|  0.00%|_OptionalTensor = Optional[torch.Tensor]
    27|         0|            0|            0|  0.00%|
    28|        61|  0.000504017|  8.26257e-06|  0.00%|def _make_grads(outputs: Sequence[torch.Tensor], grads: Sequence[_OptionalTensor]) -> Tuple[_OptionalTensor, ...]:
